Title,Summary,Publishing Date
Republican NYC Council member accuses de Blasio of 'caving in to the woke progressive mob',"The NYPD reform bills include a ban on chokeholds, The New York Post reported.
“This places a misdemeanor charge on a police officer for simply doing what they have to do to put handcuffs on someone,” he continued.
“I challenge Mayor de Blasio or anyone on the city council to put handcuffs on me without violating this same law.
The New York Post reported Wednesday that de Blasio acknowledged concerns that the new laws will make it harder for officers to do their jobs.
CLICK HERE TO GET THE FOX NEWS APPAccording to NYPD statistics, shooting incidents have increased by 600 percent year-over-year, while the number of shooting victims has increased 483 percent.",07/22/2020
"California surpasses New York for No. 1 spot in confirmed coronavirus cases, data show","The U.S. coronavirus map aligned with the country's population data overnight when California – the nation’s most populous state – also became No.
1 in confirmed coronavirus cases.
California now has more than 409,000 confirmed cases of the virus, overtaking New York, the nation’s longtime leader and fourth most populous state, which now has just over 408,000 cases, according to Johns Hopkins University.
CORONAVIRUS IN THE US: STATE-BY-STATE BREAKDOWNIn third place is Florida, the nation's third most populous state, with just under 370,000 confirmed cases.
CLICK HERE FOR COMPLETE CORONAVIRUS COVERAGECoronavirus cases in California appear to defy a widely held assumption about the outbreak: While many people view the pandemic as affecting mostly elderly people, nearly 70 percent of the cases in California affect people under age 49, SFGate reported.",07/22/2020
Kanye West deletes tweet about divorcing Kim Kardashian: report,"Kanye West deleted a tweet early Wednesday in which he said he was trying to divorce wife Kim Kardashian, according to a report.
“I been trying to get divorced since Kim met with Meek at the [Waldorf] for prison reform,'' West wrote in an apparent reference to rapper Meek Mill just minutes before deleting it, according to Reuters.
The tweet came about a day after West went on a bizarre Twitter rant Monday and made other strange comments during a presidential campaign speech Sunday.
KIM KARDASHIAN 'MOST UPSET' OVER KANYE WEST'S CLAIM THAT HER MOM KRIS JENNER CAN'T SEE THEIR KIDS: REPORTOn Sunday, he held a campaign rally in North Charleston, S.C., where he criticized Harriet Tubman and became tearful when he spoke about his mother and abortion.
""Even if my wife wants to divorce me after this speech, she brought North into the world even when I didn’t want to,"" he said while crying.",07/22/2020
"Kanye West tweets, deletes that he's considering postponing presidential run to 2024: 'Y'all want me to run?'","Kanye West posted -- and subsequently deleted -- a number of tweets early Wednesday morning, including a suggestion that he may hold off on running for president until the 2024 election.
West, who announced on July 4 that he was running in this year's election, asked Twitter followers what they thought about him continuing his campaign or waiting four more years.
KANYE WEST DELETES TWEET ABOUT DIVORCING KIM KARDASHIAN: REPORT""“#2020VISION or maybe ‘24 I guess all black people supposed to vote on Biden?
West deleted several tweets that he posted overnight, with the most recent one currently still up simply saying, ""Says the future president.""
He kept tweets advertising that he has a new album coming out this Friday.",07/22/2020
Potential Biden VP pick says Sanders campaign has significant influence in drafting DNC platform,"Atlanta Mayor Keisha Lance Bottoms, a potential vice presidential pick for presumptive Democratic nominee Joe Biden who is in charge of drafting the party's 2020 platform, said on Tuesday that the campaign for former presidential candidate Bernie Sanders has a significant influence in writing the document.
""What I most appreciated about the composition of the platform committee is that there was representation not just from the Biden campaign, but also from Senator Sanders' campaign,"" she said.
And I believe the DNC platform reflects that work that is going to continue to move us forward.""
A task force set up by the Biden campaign and Sanders earlier this month released a set of recommendations for the party platform that Biden called a ""bold, transformative platform"" and Sanders called ""a good policy blueprint that will move this country in a much-needed progressive direction.""
But the difference in this moment in time with the civil rights movement -- in the civil rights movement, there was a defined, common enemy.",07/22/2020
"Ohio House speaker, 4 others charged in 'largest bribery, money-laundering scheme' in state history","Householder has been speaker since 2019 after previously having the position from 2001 to 2004.
“Because of the nature of these charges, it will be impossible for Speaker Householder to effectively lead the Ohio House of Representatives; therefore, I am calling on Speaker Householder to resign immediately,” DeWine said.
Previous attempts to bail out the nuclear plants had stalled in the legislature before Householder became speaker.
NEW JERSEY FEDERAL JUDGE’S SON KILLED, HUSBAND SHOT AT HOMEFirstEnergy Corp., whose former subsidiaries owned the plants, donated heavily to Householder’s campaigns and his backers in the Ohio House.
Householder is the second Ohio House speaker to come under investigation in just over two years.",07/22/2020
"Sen. Ernst urges feds to block taxpayer funds for states, cities allowing 'anarchy'","""Most concerning, various city officials have used their platforms and taxpayer dollars to promote their existence, facilitate their expansion and clean up the destruction,"" the letter reads.
Ernst, a member of the Senate Judiciary Committee, requested that the department ""scrutinize any future federal funding that flows to such lawless jurisdictions.""
ERNST BILL WOULD CUT FUNDS TO CITIES, STATES THAT ALLOW CHOP-TYPE ZONES""In FY2019, the federal government provided the top 20 most populous U.S. cities over $88 billion in taxpayer dollars,"" Ernst explained.
Thank you for your time, and we look forward to your leadership in ensuring transparency for tax-payer dollars used to enable anarchy.""
This news comes less than one month after Ernst introduced legislation to end federal funding for states and localities that ""obstruct the rule of law"" by allowing autonomous zones to exist outside of police control.",07/22/2020
"Trump's COVID-19 briefing was 'exactly what Americans needed to hear,' Dr. Saphier says","President Trump’s coronavirus briefing on Tuesday “was exactly what Americans needed to hear,” Fox News medical contributor Dr. Nicole Saphier told “Fox & Friends.”In his first official press briefing on the pandemic since April, Trump admitted that the public health crisis is likely to worsen, as cases surge across the country.
He also asked all Americans to wear masks in public.
“He gave a concise and pragmatic update without the rhetoric and without the false promises that so many people were betting on him providing,” Saphier said on Wednesday.
“It will get worse before it gets better,” Trump said of the pandemic, which has infected close to 4 million Americans.
But when we’re talking about public health, and really health care in general, it's not about absolutes.",07/22/2020
"NYC is now the worst place to do business, retailers say","New York City’s progress fighting the coronavirus is doing little to help retailers, who say business in the city that never sleeps has become worse than anywhere else in the country.
Wealthy Manhattanites also have more resources and flexibility to escape, indefinitely, to greener pastures, like the Hamptons, experts say.
But he sees no point in reopening his two Manhattan stores — not even for curbside pickup.
Customer traffic at Lids stores in neighboring NJ and Pennsylvania, meanwhile, have actually increased 30 percent from a year ago, Berger added.
“We expected New York City to be like the rest of the country when we reopened our stores here, but it’s a complete outlier,” Berger said.",07/22/2020
"These N95 masks aren't likely to stop coronavirus, health experts say","Not all N95 masks are effective in defending against the coronavirus.
Face masks with exhalation valves, instead of blocking particles that could spread COVID-19, actually allow the wearer’s germs to spread, according to health experts.
Their ability to release large respiratory droplets in the air has some worried, including San Francisco health officer Dr. Tomás Aragón, who even signed an order in May warning of the potential dangers of these particular masks.
Dr. Matthew L. Springer, a cardiologist at the University of California, San Francisco, told the San Francisco Chronicle that masks with these values are “practically useless.”CLICK HERE TO GET THE FOX NEWS APP“Given that most of the value of these masks is not to protect the wearer but to protect others from a potentially contagious asymptomatic wearer, those one-way valves make the masks practically useless for protecting others,” he said.
“So all those potentially contagious people are spewing unfettered large respiratory droplets, probably even in a concentrated stream going through the valves.”If you have a mask with an exhalation valve, health experts say you can cover it with a piece of tape.",07/22/2020
"US secures 100 million doses of Pfizer, BioNTech experimental coronavirus vaccine","The U.S. government has reached a $1.95 billion deal with Pfizer and BioNTech for 100 million doses of their experimental COVID-19 vaccine once it obtains Food and Drug Administration approval.
Continue Reading BelowAn additional 500 million doses can be acquired, and U.S. citizens would receive the vaccine for free, according to the agreement.
If successful, 100 million doses would be manufactured by the end of this year and possibly more than 1.3 billion would be produced in 2021.
Operation Warp Speed aims to deliver 300 million doses of a safe and effective COVID-19 vaccine by January 2021.
CLICK HERE TO READ MORE ON FOX BUSINESSPfizer and BioNTech are currently evaluating four possible COVID-19 vaccines, two of which have received Fast Track designation by the FDA, allowing for an expedited development process.",07/22/2020
US banks and financial institutions have been slowly severing ties with the gun industry,"""The federal government allows the financial industry to receive vast amounts of federal funds; however, those exact same funds free up their balance sheets enough to discriminate and play politics.""
The order allows lawmakers to squeeze major financial institutions to step in line or risk losing the state's business.
I hear a lot today about people having all sorts of problems with banks and financial institutions.""
Operation Chokepoint was eventually shuttered in August 2017 following controversy and lawsuits by companies that complained it circumvented due process and pressured the financial industry to sever ties with the firearms industry, despite no evidence of wrongdoing.
And for some financial institutions, the anti-gun approach has doubled down as a marketing move, too.",07/22/2020
Tsunami threat in Alaska over after powerful 7.8 magnitude earthquake rattles region,"A powerful magnitude 7.8 earthquake rattled a large swath of coastal Alaska late Tuesday, triggering a tsunami warning that sent residents fleeing before it was called off.
“This is a very significant earthquake in size,” Michael West, state seismologist with the Alaska Earthquake Center, told the Anchorage Daily News.
5 OF THE MOST DEVASTATING EARTHQUAKES IN US HISTORYThe quake triggered tsunami warnings for South Alaska, the Alaska Peninsula and the Aleutian Islands.
Tsunami warning sirens could be heard blaring in videos posted on social media as residents evacuated.
The Pacific Tsunami Warning Center (PTWC) said tsunami activity was expected at 11:15 p.m. Tuesday on Sand Point, shortly after midnight in Kodiak and about 10 minutes after that in Cold Bay.",07/22/2020
"Chicago-area woman, 21, fatally stabbed boyfriend, 23, authorities say","A Chicago-area woman is scheduled to appear at a bond hearing Wednesday after being arrested for fatally stabbing her boyfriend, authorities said Tuesday.
Jacqueline Mora, 21, of Zion, a northern suburb, faces first-degree murder charges after allegedly plunging a knife into the chest of Greagory Gilmore, 23, of Waukegan, Zion police told FOX 32 of Chicago.
NORTH CAROLINA BUDDHIST MONK KILLED BY STRAY BULLET WHILE KNEELING IN PRAYERGilmore was found unresponsive with a puncture wound when police found him around 5 a.m. Monday, according to the report.
A knife was recovered at the scene.
CLICK HERE TO GET THE FOX NEWS APPThe man was declared dead at a hospital after being transported there, FOX 32 reported.",07/22/2020
Miami Black Lives Matter organizer faces felony charges after being accused of stealing flag from a pro-Trump caravan: report,"A Black Lives Matter organizer in Miami is facing felony charges after being accused of stealing a flag from a pro-Trump caravan, according to a Miami Herald report.
A Miami police spokeswoman, Kiara Davila, told the Herald that Gartrelle refused aid and did not want to press charges.
The arrest report noted that Miami police used videos on Gartrelle’s Instagram account to build a case against him, according to the Herald.
DHS CHIEF PROMISES 'WE WILL NOT RETREAT FROM PORTLAND DESPITE CRITICISM, TELLS RIOTERS 'FIND ANOTHER LINE OF WORK'Gartrelle is demanding an investigation into the incident, according to a post on his Facebook page.
Supporters of Gartrelle have established a new advocacy group called Justice for Miami and are demanding prosecutors drop the charges against Gartrelle and other protesters.",07/22/2020
Los Angeles car thefts at record high during coronavirus outbreak,"Los Angeles car thefts are at a record high in the second quarter of 2020 and one of the theories is that cars are being left idle for longer periods of time due to shelter-in-place guidelines since the coronavirus outbreak.
GIRL, 13, KILLED IN VIOLENT CALIFORNIA CARJACKINGThese second-quarter thefts surpassed the city’s previous record 5,098 thefts the police department saw in the fourth quarter of 2016.
The three neighborhoods that stood out for the highest number of car thefts this year so far include Boyle Heights, 327; Sun Valley, 304 and Van Nuys with 293.
CLICK HERE FOR THE FOX NEWS APPOverall, motor vehicle thefts are the only property crime to spike in the last month, according to a June 21 to July 18 CompStat from the LAPD.
Burglaries, personal or other theft as well as burglary or theft from a motor vehicle were all down in recent weeks.",07/22/2020
'Cancel culture' war? San Diego State mulls revoking professor emeritus status over conduct,"The proposal was brought forth earlier this month by the Academy Policy and Planning Committee, which advises the University Senate, the San Diego Union-Tribune reported.
Under its terms, the University Senate could revoke a professor’s emeritus status for conduct that occurred before or after they were granted the title.
But what type of conduct warrants revoking the emeritus title remains unclear.
With an emeritus status, retired professors are given many benefits, including access to the school’s library, health and dental coverage, use of the school’s computers and the right to do research.
The policy would require the approval of the University Senate to be enacted.",07/22/2020
Alyssa Milano says deployment of federal agents in Portland should 'concern everyone',"“What is happening with the #PortlandProtests should concern everyone,” Milano wrote on Tuesday.
“Police & federal agents are terrorizing the community, threatening lives, and attacking people simply for protesting police brutality.
“Keep your troops in your own buildings, or have them leave our city,” Wheeler said Friday.
Portland Police said Monday that federal agents had deployed CS gas, otherwise known as tear gas, to disperse crowds.
CLICK HERE TO GET THE FOX NEWS APPIn a statement, DHS insisted that agents are identifying themselves as Customs and Border Protection (CBP) agents.",07/22/2020
'Fuller House' star Candace Cameron Bure talks being a Christian in Hollywood: ‘The Bible to me is truth’,"Candace Cameron Bure doesn’t let Hollywood get in the way of her faith.
But also at work, and the choices I make within work, and the companies I choose to work with and the projects that I choose to take on.”8 THINGS YOU DIDN'T KNOW ABOUT CANDACE CAMERON BURECANDACE CAMERON BURE ON ‘FULLER HOUSE’ SET SECRETS AND HER CHRISTIAN FAITH: ‘THE BIBLE MEANS EVERYTHING TO ME’“The Bible to me is truth,” Bure continued.
It’s hard to say because it’s just a part of my being.”The “Fuller House” star admitted that over the years, she had to pass on several scripts because they didn’t align with her beliefs.
Most recently “Fuller House,” the Netflix reboot of her original sitcom “Full House,” came to an end in June after five seasons.
'FULLER HOUSE' STAR CANDACE CAMERON BURE SHARES SECRET FOR A LONG MARRIAGE: 'STICK WITH IT'CANDACE CAMERON BURE SHARES HER SECRET TRICKS TO LOOKING YOUNG“I still don’t think that these characters are over because I think they’re going to live in people’s hearts for so many more years,” she said.",07/22/2020
"Associated Press will capitalize ‘Black’ but not ‘White,’ citing concern of legitimizing white supremacy","The Associated Press announced last month it would capitalize the word “Black” when used to describe racial, ethnic or cultural topics, but decided this week that “White” will not receive the same treatment -- partially because the newsgathering service feels capitalizing “White” could subtly legitimize white supremacy beliefs.
“AP style will continue to lowercase the term white in racial, ethnic and cultural senses,” AP vice president and editor-at-large for standards John Daniszewski wrote.
FOX NEWS MEDIA TO CAPITALIZE 'BLACK'The AP typically sets the style standard that is used in newsrooms throughout the country, so the decision will impact hundreds of publications.
In addition, we are a global news organization and in much of the world there is considerable disagreement, ambiguity and confusion about whom the term includes,” Daniszewski wrote.
“We agree that white people’s skin color plays into systemic inequalities and injustices, and we want our journalism to robustly explore those problems,” Daniszewski added.",07/22/2020
MLB's 2020 pandemic-shortened season: Everything you need to know,"The 2020 MLB season will be totally different – one that has never been seen before.
After tense negotiations between the owners and the players union, Commissioner Rob Manfred stepped in to implement a 60-game season set to begin on July 23 or 24.
Additionally, the trade deadline will be Aug. 31 while the deadline for postseason eligibility is Sept. 15.
Also, active rosters will be 30 during the first two weeks of the season, 28 during the second two weeks and 26 following that.
Read below to review each team’s season preview.",07/22/2020
2021 Ford Bronco 'sold out' ... again?,"People sure seem ready to pony up for the 2021 Ford Bronco.
This isn't the first time Ford has changed production plans on a limited-edition model.
In 2018, it announced it was increasing the number of $450,000 GT supercars it would build from 1,000 to 1,350.
But will there be a third for the Bronco First Edition?
HERE'S HOW MUCH EACH OF THE 2021 FORD BRONCOS COSTS",07/22/2020
TSA catches New Jersey man with assault rifle 'artfully concealed' behind suitcase lining,"A man was stopped at Newark Liberty International Airport for bringing a loaded assault rifle and ammunition in his checked bag on Monday.
However, the laws for possessing certain firearms vary between states, and travelers must comply with state regulations.
High-capacity magazines and assault rifles are both illegal in New Jersey, where Newark airport is located.
FOLLOW US ON FACEBOOK FOR MORE FOX LIFESTYLE NEWS“Our TSA officers are very skilled at detecting firearms and other prohibited items,” said Tom Carter, TSA’s Federal Security Director for New Jersey.
“In this case, they detected an assault rifle, which is illegal in New Jersey; a high-capacity magazine, which is also illegal in New Jersey; four boxes of hollow-point bullets, again, illegal in New Jersey; three magazines, one of which was fully loaded; and two additional boxes of rifle ammunition.",07/22/2020
Texas' first drive-thru strip club has 2-song limit,"One Texas strip club is offering food to go-go amid the coronavirus pandemic.
Under Texas’ coronavirus regulations, restaurants can operate only at half capacity and bars can make to-go sales only.
OREGON STRIP CLUB CREATES DRIVE-THRU EXPERIENCE DURING CORONAVIRUS LOCKDOWN: 'PEOPLE ARE SUPER STOKED'As part of its drive-thru model, drivers have a two-song limit inside the tent as their food is prepared, general manager Gino DiLollo told the newspaper.
I do think we’re essential.”Vivid is not the first strip club to offer curbside entertainment, but it is the first in Texas, according to the report.
The Lucky Devil Lounge in Portland, Ore., began offering drive-thru services back in April, and had been using dancers as delivery drivers before that.",07/22/2020
Ben Shapiro sounds alarm over new poll on racism in US society: 'Shocking and devastating',"Author and conservative commentator Ben Shapiro told ""The Story"" Tuesday that the results of a new poll, which revealed 56 percent of voters believe the country suffers from inherent racism, is both ""shocking and devastating.""
""It’s shocking and devastating because it means one of two things,"" Shapiro said.
NEW POLL REVEALS MAJORITY OF VOTERS BELIEVE AMERICAN SOCIETY IS RACISTShapiro said those who buy into the notion that American society is systematically racist believe that the only solution ""is complete destruction of the system"" -- an ideology he called ""pretty terrifying.""
Much closer, however, was the response to a question about what should be done with Confederate statues, the poll revealed.
BEN SHAPIRO ON FOX NEWS POLL: 'DEVASTATING TO THE FUTURE OF THE COUNTRY'When asked how he thinks the poll will impact the upcoming presidential election, Shapiro said Joe Biden may have an advantage in this area.",07/22/2020
Kayleigh McEnany on reporter who denied calling her a 'lying b---h': 'I'll give her the benefit of the doubt',"White House press secretary Kayleigh McEnany took the high road Tuesday night after some social media users claimed they heard Al Jazeera reporter Kimberly Halkett allegedly call her a “lying b---h"" in a widely circulated clip from her press briefing.
In an interview on ""Hannity,"" McEnany addressed the speculation over Halkett's comment after the reporter publicly denied using the crude remark during a tense exchange at the White House.
McEnany also fired back at Playboy Magazine reporter Brian Karem after he yelled ""Hey Kayleigh, wear a mask!""
While the administration has told Americans to wear masks if needed, McEnany and other White House officials have encountered criticism for not wearing them at public events.
The White House press corps,"" she went on.",07/22/2020
Nearly 70 percent of California coronavirus cases are people under 49 years old: health officials,"California surpassed 400,000 total coronavirus cases on Tuesday, with nearly 70 percent of those cases involving people under the age of 49, according to health officials.
The California Department of Public Health (CDPH) reported 9,231 new COVID-19 infections on Tuesday, which raises the state's total number of cases to 400,769 since the start of the pandemic.
Of those cases, 276,023 are people under the age of 49, which is about 69 percent of those infected with the virus in California.
In comparison, people between the ages of 18 to 49 make up more than 60 percent of total infections in the state.
The Asian and African American populations make up 5.7 and 4.3 percent, respectively, of cases in California.",07/22/2020
Pelosi calls coronavirus the 'Trump virus' following revived White House task force briefing,"House Speaker Nancy Pelosi, D-Calif., reignited her war of words with President Trump on Tuesday, calling the coronavirus the ""Trump virus"" in an effort to blame the ongoing pandemic on the president's response.
""Well, what do you mean when you say the 'Trump virus,'"" CNN anchor Wolf Blitzer asked.
CNN SKIPS TRUMP'S PREPARED REMARKS AT REVIVED CORONAVIRUS BRIEFING""The Trump virus,"" Pelosi reiterated.
So I think a good deal of what we have suffered is clearly the Trump virus.""
Yes, that's what I'm saying,"" Pelosi responded.",07/22/2020
Trump campaign adviser: Obama-Biden's 'depleted' stockpile contrasts starkly with Trump's pandemic response,"A top Trump campaign adviser said Tuesday that presumptive Democratic presidential nominee Joe Biden's criticisms of President Trump and the Republican's handling of the coronavirus pandemic should be met with skepticism.
Mercedes Schlapp told ""The Story"" on Tuesday that Biden and President Obama ""depleted"" the national strategic stockpile of Personal Protective Equipment (PPE) and other health-related items and prematurely stopped H1N1 flu vaccine testing.
Schlapp added that voters should look to the relative visibility and accessibility of both Trump and Biden.
She criticized the Delaware Democrat for refusing to take questions following an address in New Castle, Del., earlier Tuesday.
In New Castle, Biden slammed Trump's handling of the pandemic:“Donald Trump fails the most important test to be the American president -- the duty to care for you [and] for all of us,” he said.",07/22/2020
Lauren Green: Can you be moral without believing in God?,"Is belief in God necessary in order to have good values?
""I think it is possible to be moral and not believe in God,” Volf told me.
CALIFORNIA BEACH REVIVAL ATTENDED BY 1,000: ‘THE CHURCH HAS LEFT THE BUILDING’""I don't think that it's possible to justify, to legitimize being moral, so to speak, to give reasons for being moral unless you believe in God,” Volf said.
The results, released Monday, asked more than 38,000 people in 34 countries if they thought believing in God was necessary to being moral and to being a good person.
Across the globe a median of 45 percent of people said belief in God was necessary.",07/22/2020
Amb Carla Sands: Trump administration's focus on Greenland — why we hope to strengthen our relationship,"The United States and Denmark are working together to help Greenlanders achieve the sustainable future they want.
U.S. cooperation will help Greenland increase its capabilities in mineral and energy resource sector management, sustainable tourism, and economic growth.
We are also working with partners in Maine and Alaska to increase trade in goods and services between the United States and Greenland, as well as investment.
U.S. technological breakthroughs in renewable energy, electricity storage, and carbon capture have kickstarted environmentally sustainable economic growth in our country, and Greenlanders could benefit from this technology.
Multiple generations of American scientists conduct research on the Greenland ice sheet to better understand and preserve the Arctic environment.",07/22/2020
"Grilled queso dip takes over TikTok, social media","This gives a new meaning to “grilled cheese.”Users on the video-sharing platform TikTok are sharing their takes on the newest food trend, grilled queso, and it’s a smoky sensation.
After that, leave the dip in there until it’s completely melted – an exact time was not shared.
Once it’s finished, TikTok claims you will be left with a cheesy, smoky dip fit for a party – a socially distanced one, that is.
CLICK HERE TO GET THE FOX NEWS APPTikTok is no stranger to trying out food trends.
Most recently, the creation du jour on the platform was frog bread, which is exactly what it sounds like – bread made in the shape of a frog that is then baked.",07/22/2020
